[Epoch 1 | Step 0] Loss: 12.5163
[Epoch 1 | Step 50] Loss: 1.9161
[Epoch 1 | Step 100] Loss: 1.6042
[Epoch 1 | Step 150] Loss: 1.5410
[Epoch 1 | Step 200] Loss: 1.2619
[Epoch 1 | Step 250] Loss: 1.4988
[Epoch 1 | Step 300] Loss: 1.2308
[Epoch 1 | Step 350] Loss: 1.3930
[Epoch 1 | Step 400] Loss: 1.5958
[Epoch 1 | Step 450] Loss: 1.1139
[Epoch 1 | Step 500] Loss: 1.2015
[Epoch 1 | Step 550] Loss: 1.3192
[Epoch 1 | Step 600] Loss: 1.3875
[Epoch 1 | Step 650] Loss: 1.2283
[Epoch 1 | Step 700] Loss: 1.1400
[Epoch 1 | Step 750] Loss: 1.3353
[Epoch 1 | Step 800] Loss: 1.1848
[Epoch 1 | Step 850] Loss: 1.1652
[Epoch 1 | Step 900] Loss: 1.0385
[Epoch 1 | Step 950] Loss: 0.9000
[Epoch 1 | Step 1000] Loss: 0.9969
[Epoch 1 | Step 1050] Loss: 0.9452
[Epoch 1 | Step 1100] Loss: 1.1865
[Epoch 1 | Step 1150] Loss: 1.1823
[Epoch 1 | Step 1200] Loss: 1.1283
[Epoch 1 | Step 1250] Loss: 1.2185
[Epoch 1 | Step 1300] Loss: 1.1532
[Epoch 1 | Step 1350] Loss: 1.0839
[Epoch 1 | Step 1400] Loss: 1.1664
[Epoch 1 | Step 1450] Loss: 0.9378
[Epoch 1 | Step 1500] Loss: 1.2142
[Epoch 1 | Step 1550] Loss: 1.0830
[Epoch 1 | Step 1600] Loss: 1.0247
[Epoch 1 | Step 1650] Loss: 1.1028
[Epoch 1 | Step 1700] Loss: 0.9882
[Epoch 1 | Step 1750] Loss: 1.0012
[Epoch 1 | Step 1800] Loss: 1.0797
[Epoch 1 | Step 1850] Loss: 1.1997
[Epoch 1 | Step 1900] Loss: 1.1039
[Epoch 1 | Step 1950] Loss: 1.1423
[Epoch 1 | Step 2000] Loss: 1.0774
[Epoch 1 | Step 2050] Loss: 0.9641
[Epoch 1 | Step 2100] Loss: 1.0656
[Epoch 1 | Step 2150] Loss: 1.0721
[Epoch 1 | Step 2200] Loss: 1.1915
[Epoch 1 | Step 2250] Loss: 1.1937
[Epoch 1 | Step 2300] Loss: 0.9496
[Epoch 1 | Step 2350] Loss: 1.0855
[Epoch 1 | Step 2400] Loss: 1.1484
[Epoch 1 | Step 2450] Loss: 1.0531
[Epoch 1 | Step 2500] Loss: 0.9545
[Epoch 1 | Step 2550] Loss: 0.9550
[Epoch 1 | Step 2600] Loss: 1.0310
[Epoch 1 | Step 2650] Loss: 0.9739
[Epoch 1 | Step 2700] Loss: 1.0568
[Epoch 1 | Step 2750] Loss: 1.0794
[Epoch 1 | Step 2800] Loss: 0.9258
[Epoch 1 | Step 2850] Loss: 1.0882
[Epoch 1 | Step 2900] Loss: 1.0148
[Epoch 1 | Step 2950] Loss: 1.0457
[Epoch 1 | Step 3000] Loss: 1.1580
[Epoch 1 | Step 3050] Loss: 0.9511
[Epoch 1 | Step 3100] Loss: 1.1449
[Epoch 1 | Step 3150] Loss: 0.9577
[Epoch 1 | Step 3200] Loss: 0.9412
[Epoch 1 | Step 3250] Loss: 0.8910
[Epoch 1 | Step 3300] Loss: 1.1198
[Epoch 1 | Step 3350] Loss: 1.0864
[Epoch 1 | Step 3400] Loss: 0.8682
[Epoch 1 | Step 3450] Loss: 1.1314
[Epoch 1 | Step 3500] Loss: 1.0223
[Epoch 1 | Step 3550] Loss: 1.0885
[Epoch 1 | Step 3600] Loss: 0.9784
[Epoch 1 | Step 3650] Loss: 1.0749
[Epoch 1 | Step 3700] Loss: 0.9945
[Epoch 1 | Step 3750] Loss: 0.9914
[Epoch 1 | Step 3800] Loss: 1.0642
[Epoch 1 | Step 3850] Loss: 0.9206
[Epoch 1 | Step 3900] Loss: 0.9642
[Epoch 1 | Step 3950] Loss: 1.0580
[Epoch 1 | Step 4000] Loss: 1.1249
[Epoch 1 | Step 4050] Loss: 1.1661
[Epoch 1 | Step 4100] Loss: 1.0517
[Epoch 1 | Step 4150] Loss: 1.1301
[Epoch 1 | Step 4200] Loss: 0.8948
[Epoch 1 | Step 4250] Loss: 0.9470
[Epoch 1 | Step 4300] Loss: 1.0377
[Epoch 1 | Step 4350] Loss: 1.0658
