

========== CONTINUED TRAINING STARTED ==========
[Continue Epoch 1 | Step 0] Loss: 1.3282
[Continue Epoch 1 | Step 50] Loss: 1.1791
[Continue Epoch 1 | Step 100] Loss: 1.1427
[Continue Epoch 1 | Step 150] Loss: 1.1077
[Continue Epoch 1 | Step 200] Loss: 1.1514
[Continue Epoch 1 | Step 250] Loss: 1.1108
[Continue Epoch 1 | Step 300] Loss: 1.1899
[Continue Epoch 1 | Step 350] Loss: 1.1330
[Continue Epoch 1 | Step 400] Loss: 1.0886
[Continue Epoch 1 | Step 450] Loss: 1.1533
[Continue Epoch 1 | Step 500] Loss: 1.1973
[Continue Epoch 1 | Step 550] Loss: 1.0722
[Continue Epoch 1 | Step 600] Loss: 1.2052
[Continue Epoch 1 | Step 650] Loss: 1.1691
[Continue Epoch 1 | Step 700] Loss: 1.0094
[Continue Epoch 1 | Step 750] Loss: 1.2001
[Continue Epoch 1 | Step 800] Loss: 1.1827
[Continue Epoch 1 | Step 850] Loss: 0.9482
[Continue Epoch 1 | Step 900] Loss: 1.1172
[Continue Epoch 1 | Step 950] Loss: 1.1030
[Continue Epoch 1 | Step 1000] Loss: 1.1797
[Continue Epoch 1 | Step 1050] Loss: 1.0374
[Continue Epoch 1 | Step 1100] Loss: 1.2988
[Continue Epoch 1 | Step 1150] Loss: 1.1062
[Continue Epoch 1 | Step 1200] Loss: 1.0743
[Continue Epoch 1 | Step 1250] Loss: 1.0927
[Continue Epoch 1 | Step 1300] Loss: 1.0312
[Continue Epoch 1 | Step 1350] Loss: 1.0280
[Continue Epoch 1 | Step 1400] Loss: 1.0572
[Continue Epoch 1 | Step 1450] Loss: 1.1134
[Continue Epoch 1 | Step 1500] Loss: 1.0506
[Continue Epoch 1 | Step 1550] Loss: 1.2944
[Continue Epoch 1 | Step 1600] Loss: 1.0072
[Continue Epoch 1 | Step 1650] Loss: 1.2203
[Continue Epoch 1 | Step 1700] Loss: 1.0169
[Continue Epoch 1 | Step 1750] Loss: 1.0787
[Continue Epoch 1 | Step 1800] Loss: 1.2118
[Continue Epoch 1 | Step 1850] Loss: 1.0845
[Continue Epoch 1 | Step 1900] Loss: 1.1743
[Continue Epoch 1 | Step 1950] Loss: 1.1196
[Continue Epoch 1 | Step 2000] Loss: 1.1210
[Continue Epoch 1 | Step 2050] Loss: 1.1814
[Continue Epoch 1 | Step 2100] Loss: 1.1028
[Continue Epoch 1 | Step 2150] Loss: 1.0370
[Continue Epoch 1 | Step 2200] Loss: 1.1795
[Continue Epoch 1 | Step 2250] Loss: 1.1861
[Continue Epoch 1 | Step 2300] Loss: 1.0267
[Continue Epoch 1 | Step 2350] Loss: 1.0220
[Continue Epoch 1 | Step 2400] Loss: 1.0644
[Continue Epoch 1 | Step 2450] Loss: 1.1511
[Continue Epoch 1 | Step 2500] Loss: 1.1309
[Continue Epoch 1 | Step 2550] Loss: 1.1047


========== CONTINUED TRAINING STARTED ==========
[Continue Epoch 1 | Step 0] Loss: 1.5867
[Continue Epoch 1 | Step 50] Loss: 1.6516
[Continue Epoch 1 | Step 100] Loss: 1.2824
[Continue Epoch 1 | Step 150] Loss: 1.0677
[Continue Epoch 1 | Step 200] Loss: 1.1888
[Continue Epoch 1 | Step 250] Loss: 1.1489
[Continue Epoch 1 | Step 300] Loss: 1.1516
[Continue Epoch 1 | Step 350] Loss: 1.2295
[Continue Epoch 1 | Step 400] Loss: 1.0494
[Continue Epoch 1 | Step 450] Loss: 1.0428
[Continue Epoch 1 | Step 500] Loss: 1.0502
[Continue Epoch 1 | Step 550] Loss: 1.1300
[Continue Epoch 1 | Step 600] Loss: 1.1298
[Continue Epoch 1 | Step 650] Loss: 1.1145
[Continue Epoch 1 | Step 700] Loss: 1.1113
[Continue Epoch 1 | Step 750] Loss: 1.0212
[Continue Epoch 1 | Step 800] Loss: 1.0315
[Continue Epoch 1 | Step 850] Loss: 1.2288
[Continue Epoch 1 | Step 900] Loss: 1.2614
[Continue Epoch 1 | Step 950] Loss: 1.2113
[Continue Epoch 1 | Step 1000] Loss: 1.1371
[Continue Epoch 1 | Step 1050] Loss: 1.1683
[Continue Epoch 1 | Step 1100] Loss: 1.2324
[Continue Epoch 1 | Step 1150] Loss: 1.2945
[Continue Epoch 1 | Step 1200] Loss: 1.1436
[Continue Epoch 1 | Step 1250] Loss: 1.0936
[Continue Epoch 1 | Step 1300] Loss: 1.2019
[Continue Epoch 1 | Step 1350] Loss: 1.0771
[Continue Epoch 1 | Step 1400] Loss: 1.0886
[Continue Epoch 1 | Step 1450] Loss: 1.3132
[Continue Epoch 1 | Step 1500] Loss: 1.1460
[Continue Epoch 1 | Step 1550] Loss: 1.2289
[Continue Epoch 1 | Step 1600] Loss: 1.0483
[Continue Epoch 1 | Step 1650] Loss: 1.1566
[Continue Epoch 1 | Step 1700] Loss: 1.1682
[Continue Epoch 1 | Step 1750] Loss: 0.9370
[Continue Epoch 1 | Step 1800] Loss: 1.1750
[Continue Epoch 1 | Step 1850] Loss: 1.1284
[Continue Epoch 1 | Step 1900] Loss: 0.9237
[Continue Epoch 1 | Step 1950] Loss: 1.0609
[Continue Epoch 1 | Step 2000] Loss: 1.2904
[Continue Epoch 1 | Step 2050] Loss: 1.2076
[Continue Epoch 1 | Step 2100] Loss: 0.9551
[Continue Epoch 1 | Step 2150] Loss: 1.0367
[Continue Epoch 1 | Step 2200] Loss: 1.1826
[Continue Epoch 1 | Step 2250] Loss: 1.1684
[Continue Epoch 1 | Step 2300] Loss: 1.0206
[Continue Epoch 1 | Step 2350] Loss: 1.0429
[Continue Epoch 1 | Step 2400] Loss: 1.0719
[Continue Epoch 1 | Step 2450] Loss: 1.0739
[Continue Epoch 1 | Step 2500] Loss: 1.0787
[Continue Epoch 1 | Step 2550] Loss: 1.2553
[Continue Epoch 1 | Step 2600] Loss: 1.2379
[Continue Epoch 1 | Step 2650] Loss: 1.1631
[Continue Epoch 1 | Step 2700] Loss: 1.1310
[Continue Epoch 1 | Step 2750] Loss: 1.1830
[Continue Epoch 1 | Step 2800] Loss: 1.0383
[Continue Epoch 1 | Step 2850] Loss: 1.0946
[Continue Epoch 1 | Step 2900] Loss: 1.1171
[Continue Epoch 1 | Step 2950] Loss: 1.0262
[Continue Epoch 1 | Step 3000] Loss: 1.0403
[Continue Epoch 1 | Step 3050] Loss: 0.9766
[Continue Epoch 1 | Step 3100] Loss: 1.0085
[Continue Epoch 1 | Step 3150] Loss: 1.2063
[Continue Epoch 1 | Step 3200] Loss: 0.9506
[Continue Epoch 1 | Step 3250] Loss: 1.0569
[Continue Epoch 1 | Step 3300] Loss: 1.0489
[Continue Epoch 1 | Step 3350] Loss: 1.0483
[Continue Epoch 1 | Step 3400] Loss: 1.1955
[Continue Epoch 1 | Step 3450] Loss: 0.9367
[Continue Epoch 1 | Step 3500] Loss: 1.1971
[Continue Epoch 1 | Step 3550] Loss: 0.9437
[Continue Epoch 1 | Step 3600] Loss: 1.1399
[Continue Epoch 1 | Step 3650] Loss: 1.1177
[Continue Epoch 1 | Step 3700] Loss: 1.1271
[Continue Epoch 1 | Step 3750] Loss: 1.0436
[Continue Epoch 1 | Step 3800] Loss: 1.0985
[Continue Epoch 1 | Step 3850] Loss: 1.0993
[Continue Epoch 1 | Step 3900] Loss: 1.1274
[Continue Epoch 1 | Step 3950] Loss: 1.0568
[Continue Epoch 1 | Step 4000] Loss: 1.0114
[Continue Epoch 1 | Step 4050] Loss: 0.9630
[Continue Epoch 1 | Step 4100] Loss: 1.1365
[Continue Epoch 1 | Step 4150] Loss: 1.2109
[Continue Epoch 1 | Step 4200] Loss: 0.9689
[Continue Epoch 1 | Step 4250] Loss: 1.1509
[Continue Epoch 1 | Step 4300] Loss: 0.9236
[Continue Epoch 1 | Step 4350] Loss: 0.8953
[Continue Epoch 1 | Step 4400] Loss: 1.1599
[Continue Epoch 1 | Step 4450] Loss: 1.0620
[Continue Epoch 1 | Step 4500] Loss: 1.0556
[Continue Epoch 1 | Step 4550] Loss: 1.0483
[Continue Epoch 1 | Step 4600] Loss: 1.0992
[Continue Epoch 1 | Step 4650] Loss: 0.9402
[Continue Epoch 1 | Step 4700] Loss: 1.0809
[Continue Epoch 1 | Step 4750] Loss: 1.0494
[Continue Epoch 1 | Step 4800] Loss: 1.3318
[Continue Epoch 1 | Step 4850] Loss: 1.1324
[Continue Epoch 1 | Step 4900] Loss: 1.1059
[Continue Epoch 1 | Step 4950] Loss: 0.9960

Continue Epoch 1 Completed | Avg Loss: 1.1006
Best model updated
[Continue Epoch 2 | Step 0] Loss: 1.0528
[Continue Epoch 2 | Step 50] Loss: 1.0107
[Continue Epoch 2 | Step 100] Loss: 1.1560
[Continue Epoch 2 | Step 150] Loss: 1.1529
[Continue Epoch 2 | Step 200] Loss: 1.0603
[Continue Epoch 2 | Step 250] Loss: 1.1603
[Continue Epoch 2 | Step 300] Loss: 1.0563
[Continue Epoch 2 | Step 350] Loss: 1.0313
[Continue Epoch 2 | Step 400] Loss: 1.0206
[Continue Epoch 2 | Step 450] Loss: 0.9884
[Continue Epoch 2 | Step 500] Loss: 1.1474
[Continue Epoch 2 | Step 550] Loss: 1.0222
[Continue Epoch 2 | Step 600] Loss: 1.0518
[Continue Epoch 2 | Step 650] Loss: 1.0798
[Continue Epoch 2 | Step 700] Loss: 1.0385
[Continue Epoch 2 | Step 750] Loss: 1.0325
[Continue Epoch 2 | Step 800] Loss: 1.1652
[Continue Epoch 2 | Step 850] Loss: 1.0671
[Continue Epoch 2 | Step 900] Loss: 1.0351
[Continue Epoch 2 | Step 950] Loss: 0.8907
[Continue Epoch 2 | Step 1000] Loss: 1.0547
[Continue Epoch 2 | Step 1050] Loss: 0.9818
[Continue Epoch 2 | Step 1100] Loss: 1.1366
[Continue Epoch 2 | Step 1150] Loss: 1.0309
[Continue Epoch 2 | Step 1200] Loss: 0.9686
[Continue Epoch 2 | Step 1250] Loss: 1.1463
[Continue Epoch 2 | Step 1300] Loss: 1.1564
[Continue Epoch 2 | Step 1350] Loss: 1.0749
[Continue Epoch 2 | Step 1400] Loss: 1.1884
[Continue Epoch 2 | Step 1450] Loss: 0.9662
[Continue Epoch 2 | Step 1500] Loss: 1.1652
[Continue Epoch 2 | Step 1550] Loss: 1.0619
[Continue Epoch 2 | Step 1600] Loss: 1.0544
[Continue Epoch 2 | Step 1650] Loss: 1.0722
[Continue Epoch 2 | Step 1700] Loss: 1.0797
[Continue Epoch 2 | Step 1750] Loss: 1.0539
[Continue Epoch 2 | Step 1800] Loss: 0.9919
[Continue Epoch 2 | Step 1850] Loss: 1.0837
[Continue Epoch 2 | Step 1900] Loss: 1.1649
[Continue Epoch 2 | Step 1950] Loss: 1.1206
[Continue Epoch 2 | Step 2000] Loss: 0.9736
[Continue Epoch 2 | Step 2050] Loss: 1.0970
[Continue Epoch 2 | Step 2100] Loss: 0.8626
[Continue Epoch 2 | Step 2150] Loss: 1.0686
[Continue Epoch 2 | Step 2200] Loss: 0.9642
[Continue Epoch 2 | Step 2250] Loss: 1.0447
[Continue Epoch 2 | Step 2300] Loss: 1.0922
[Continue Epoch 2 | Step 2350] Loss: 0.9456
[Continue Epoch 2 | Step 2400] Loss: 0.9161
[Continue Epoch 2 | Step 2450] Loss: 1.1284
[Continue Epoch 2 | Step 2500] Loss: 1.0825
[Continue Epoch 2 | Step 2550] Loss: 0.8996
[Continue Epoch 2 | Step 2600] Loss: 1.0386
[Continue Epoch 2 | Step 2650] Loss: 1.0928
