[Improved Epoch 1 | Step 0] Loss: 0.8856
[Improved Epoch 1 | Step 100] Loss: 1.1017
[Improved Epoch 1 | Step 200] Loss: 1.1417
[Improved Epoch 1 | Step 300] Loss: 0.7798
[Improved Epoch 1 | Step 400] Loss: 1.0731
[Improved Epoch 1 | Step 500] Loss: 1.0837
[Improved Epoch 1 | Step 600] Loss: 0.8549
[Improved Epoch 1 | Step 700] Loss: 0.9160
[Improved Epoch 1 | Step 800] Loss: 0.9718
[Improved Epoch 1 | Step 900] Loss: 0.8968
[Improved Epoch 1 | Step 1000] Loss: 0.9191
[Improved Epoch 1 | Step 1100] Loss: 1.1074
[Improved Epoch 1 | Step 1200] Loss: 0.9424
[Improved Epoch 1 | Step 1300] Loss: 0.7764
[Improved Epoch 1 | Step 1400] Loss: 0.8945
[Improved Epoch 1 | Step 1500] Loss: 0.8973
[Improved Epoch 1 | Step 1600] Loss: 0.9633
[Improved Epoch 1 | Step 1700] Loss: 0.9783
[Improved Epoch 1 | Step 1800] Loss: 0.8795
[Improved Epoch 1 | Step 1900] Loss: 0.8488
[Improved Epoch 1 | Step 2000] Loss: 0.9901
[Improved Epoch 1 | Step 2100] Loss: 1.1186
[Improved Epoch 1 | Step 2200] Loss: 0.9940
[Improved Epoch 1 | Step 2300] Loss: 0.9416
[Improved Epoch 1 | Step 2400] Loss: 0.9262
[Improved Epoch 1 | Step 2500] Loss: 1.0235
[Improved Epoch 1 | Step 2600] Loss: 0.8646
[Improved Epoch 1 | Step 2700] Loss: 0.9359
[Improved Epoch 1 | Step 2800] Loss: 0.9249
[Improved Epoch 1 | Step 2900] Loss: 0.8922
[Improved Epoch 1 | Step 3000] Loss: 0.9830
[Improved Epoch 1 | Step 3100] Loss: 0.9515
[Improved Epoch 1 | Step 3200] Loss: 1.0088
[Improved Epoch 1 | Step 3300] Loss: 0.9673
[Improved Epoch 1 | Step 3400] Loss: 0.9619
[Improved Epoch 1 | Step 3500] Loss: 1.0792
[Improved Epoch 1 | Step 3600] Loss: 0.9738
[Improved Epoch 1 | Step 3700] Loss: 1.0046
[Improved Epoch 1 | Step 3800] Loss: 0.8790
[Improved Epoch 1 | Step 3900] Loss: 0.9070
[Improved Epoch 1 | Step 4000] Loss: 1.0122
[Improved Epoch 1 | Step 4100] Loss: 0.9766
[Improved Epoch 1 | Step 4200] Loss: 1.0241
[Improved Epoch 1 | Step 4300] Loss: 0.9506
[Improved Epoch 1 | Step 4400] Loss: 1.0115
[Improved Epoch 1 | Step 4500] Loss: 1.0340
[Improved Epoch 1 | Step 4600] Loss: 1.0099
[Improved Epoch 1 | Step 4700] Loss: 1.1898
[Improved Epoch 1 | Step 4800] Loss: 1.1648
[Improved Epoch 1 | Step 4900] Loss: 0.8471

Improved Epoch 1 Completed | Avg Loss: 0.9707
[Improved Epoch 2 | Step 0] Loss: 0.7716
[Improved Epoch 2 | Step 100] Loss: 1.0166
[Improved Epoch 2 | Step 200] Loss: 0.9068
[Improved Epoch 2 | Step 300] Loss: 0.8880
[Improved Epoch 2 | Step 400] Loss: 0.9195
[Improved Epoch 2 | Step 500] Loss: 0.9563
[Improved Epoch 2 | Step 600] Loss: 0.9882
[Improved Epoch 2 | Step 700] Loss: 0.7909
[Improved Epoch 2 | Step 800] Loss: 0.9864
[Improved Epoch 2 | Step 900] Loss: 0.8699
[Improved Epoch 2 | Step 1000] Loss: 0.9105
[Improved Epoch 2 | Step 1100] Loss: 0.9981
[Improved Epoch 2 | Step 1200] Loss: 1.0564
[Improved Epoch 2 | Step 1300] Loss: 0.9821
[Improved Epoch 2 | Step 1400] Loss: 1.1416
[Improved Epoch 2 | Step 1500] Loss: 1.0399
[Improved Epoch 2 | Step 1600] Loss: 0.8568
[Improved Epoch 2 | Step 1700] Loss: 1.0137
[Improved Epoch 2 | Step 1800] Loss: 0.9431
[Improved Epoch 2 | Step 1900] Loss: 0.8903
[Improved Epoch 2 | Step 2000] Loss: 0.8026
